title,body,source
"Padilla won't run for California governor in 2026, says he is choosing to ""stay in this fight"" in the Senate","Cecilio Padilla is a digital producer for CBS Sacramento and a Sacramento-area native who has been covering Northern California for more than a decade. U.S. Sen. Alex Padilla said he will not run for California governor in 2026, ending speculation that he might seek to succeed Gov.",CBS News
Election Day 2025: The five biggest races to watch,"But voters will go to the polls Tuesday dozens of states, deciding everything from local tax measures to high-profile races that could impact national politics. In short, Tuesday is the most significant election in the United states since last November, experts say, when President Trump defeated Kamala Harris in the presidential race, and Republicans maintained control of the House and Senate. It's also being viewed as a way to gauge the pulse of voters a year before the 2026 elections, when control of the House, Senate and governor's offices will be up for grabs. ""Tuesday has become an early referendum on Trump,"" said Larry Gerston, a professor emeritus of political science at San Jose State University.",Boston Herald
MAGA's sheer hatred of one man could be the thing that saves us from Trump,"A view shows a golden MAGA hat, ahead of a Republican presidential nominee and former U.S. President Donald Trump campaign rally in Gastonia, North Carolina, U.S. November 2, 2024. REUTERS/Megan Varner

Is the No Kings movement the new Tea Party movement?",Raw Story
"Fox News' Martha MacCallum on Anchoring Election Night, Interviewing Zohran Mamdani: 'It Looks Very Good for Him'","The longtime anchor is leading the network's news coverage of elections in New York, New Jersey, Virginia and California

Fox News anchor Martha MacCallum likes to start her day with a run. As the minutes trickle toward the Election Day polls closing, we're in for a sprint. MacCallum, who anchors the network's afternoon telecast ""The Story,"" is continuing her long-running duties as one of Fox News' election anchors on Tuesday alongside Bret Baier as New York City, New Jersey, Virginia and California residents turn out in historic numbers for an off-cycle election. While CNN and MSNBC are launching large-scale election coverage, starting at 5 p.m.",TheWrap
The 2025 election that may determine if Republicans hold House in 2026 midterms,"Paul Gigot hosts a 'Journal Editorial Report' panel to discuss California's upcoming special election to vote on Gov. Gavin Newsom's Prop 50, which some criticize as gerrymandering, and the upcoming Pennsylvania Supreme court justice retention vote. It's Election Day in California, where a ballot initiative will make a huge impact on next year's battle for the U.S. House majority whether it passes or fails.",Fox News
Proposition 50 live election results: California voters to weigh in on redistricting measure,See Prop. 50 vote counts and learn what the ballot measure could change. Proposition 50 is a ballot proposal appearing on California ballots that will determine whether the state will redraw its congressional voting districts to add as many as five Democrat-held seats to Congress. Championed by California Gov.,ABC News
5 Things We're Watching on Election Day in California,"Proposition 50 is the only statewide question on the ballot, but there are numerous dynamics at play. It's Election Day in California. There's only one statewide question on the ballot, but there are numerous dynamics at play, political and otherwise. Here are five things we're watching.",The New York Times
Your guide to key ballot measures being voted on in California and New York City on Tuesday,"'Fox News Live' panelists Howard Kurtz, Kevin Madden and Ron Bonjean break down the upcoming elections in New York, New Jersey and Virginia. Voters in California and New York City will be voting on key ballot measures on Tuesday, with some of them drawing national attention for their significance. Both measures could have ripple effects far beyond their borders -- influencing control of Congress and reshaping how America's biggest city conducts elections. Together, the proposals offer voters in the nation's two largest blue strongholds a chance to reshape how political power and housing policy are decided.",Fox News
Trump is on the ballot in these seven races,"Key elections Tuesday in New York, Virginia, New Jersey and California

President Donald Trump may not be on the ballot Tuesday, but in many places, he might as well be. The president's influence can be felt in several key races across the country, from candidates both parties have nominated to a referendum in California that seeks to counter Trump's efforts to gerrymander a Republican majority in the House of Representatives. The results will be the first major sign of how voters are responding to the president's norm-shattering second term ahead of next year's midterms. Here's a quick look at the races to watch:

Who's running: Democrat Abigail Spanberger, a centrist former House member from Virginia's 7th Congressional District, is facing off against Republican Winsome Earle-Sears, the state's very Trumpy lieutenant governor and the first Black woman elected to statewide office in Virginia.",MSNBC.com
"The Gamble Behind a Takeover of Kenvue, Maker of Tylenol","Kimberly-Clark's $40 billion deal for Kenvue, the embattled maker of Tylenol and other consumer products, seemingly flies in the face of two M.&A. maxims: skirt uncertainty whenever possible, and avoid inviting scrutiny by the Trump administration. Lauren Hirsch breaks down why the consumer goods giants made their bet -- and whether they can get out of it. Talks began after Kenvue announced a strategic review in July, effectively putting itself up for sale.",The New York Times
"Trump's strength, Democrats' message and the shutdown effect. What to watch on Election Day 2025","WASHINGTON -- Tuesday marks the nation's first major Election Day since President Donald Trump returned to the White House, and his leadership and policies dominated the debate in almost every race -- even though the Republican was absent from the campaign trail. The biggest contests are in Virginia and New Jersey, the only states electing governors this year. Trump lost both last fall, but voters in each have a history of electing Republicans for statewide office. The GOP candidates have closely aligned themselves with the president, betting that his big win last year can still provide a path to victory this time, even if the party occupying the White House typically suffers in off-year elections.",ABC News
Analysis | What's on the ballot today?,In today's edition ... New Jersey and Virginia have major governors' races ... New York City decides its next mayor ... Democrats' biggest redistricting push hits the ballot ...,Washington Post
California's 'Prop 50' congressional map election could have major impact for midterms,"One of 2025's major elections could have major implications for the midterms. One of 2025's major elections could have major reverberations for the 2026 midterms. Californians are voting on a ballot initiative, ""Proposition 50,"" to determine if the state will adopt a new congressional map that redraws five districts to be more Democratic-leaning, potentially allowing Democrats to flip them in the midterms. Supporters of Proposition 50 -- including California Gov.",ABC News
Why Trump's agenda is on voter's minds even if he's not on the 2025 ballot,Proposition 50 sparks debate over redistricting in California. It will play a substantial role in deciding which party controls the U.S. House. President Donald Trump's juggernaut second-term agenda that has swept across the nation will receive its first major referendum as millions of voters flock to the polls for a handful of critical off-year elections.,USA Today
A Guide to the California Special Election and Prop. 50 Ballot Measure,"Kevin Yamamura reported from Sacramento, and Soumya Karlamangla from San Francisco. Millions of Californians will vote Tuesday in a special election to decide only one question: whether the state should redraw its voting district maps to help Democrats flip as many as five House seats in the 2026 midterms. The measure, Proposition 50, came together at a breakneck pace this summer as the brainchild of Gov. Gavin Newsom, House Democrats and state lawmakers.",The New York Times
Five big questions for Trump and Democrats on Election Day 2025,"Voters are casting ballots Tuesday in several off-year elections, including bruising governor's contests in Virginia and New Jersey, a competition full of plot twists to be mayor of New York, and a referendum in California on whether to redraw congressional lines to help Democrats in a broader fight over redistricting. The races will offer a snapshot of voter attitudes one year after President Donald Trump won a second term and Democrats were shut out of power in Washington. While only a handful of mostly Democratic-leaning states are voting, strategists in both parties will be looking for clues about how people feel about Trump's agenda and Democrats' rebuilding efforts before the country votes in the 2026 midterms. Here are five big questions for Election Day 2025:

In this article

What message will voters send about Trump?",Washington Post
Trump looms large over key Election Day 2025 contests despite not being on ballot,"Jack Ciattarelli, the Republican nominee for governor in New Jersey, tells Fox News Digital that President Donald Trump's efforts to energize the GOP base ahead of Tuesday's election are appreciated. Nearly ten months into President Donald Trump's second term in the White House, voters in contests from coast-to-coast head to the polls on Tuesday in statewide and local elections. And the key showdowns, including gubernatorial elections in New Jersey and Virginia, are viewed, in part, as the first major ballot box test of Trump's unprecedented and explosive second-term agenda. ""FAILING TO VOTE TOMORROW IS THE SAME AS VOTING FOR A DEMOCRAT,"" the president charged in a social media post on Election Eve as he urged Republicans to head to the polls.",Fox News
"What to watch on Election Day 2025: Trump's strength, Democrats' message and the shutdown effect","The biggest contests are in Virginia and New Jersey, the only states electing governors this year. By STEVE PEOPLES and WILL WEISSERT, Associated Press

WASHINGTON (AP) -- Tuesday marks the nation's first major Election Day since President Donald Trump returned to the White House, and his leadership and policies dominated the debate in almost every race -- even though the Republican was absent from the campaign trail. The biggest contests are in Virginia and New Jersey, the only states electing governors this year. Trump lost both last fall, but voters in each have a history of electing Republicans for statewide office.",Boston Herald
California voters take up Democrats' push for new congressional maps that could shape House control,"The outcome will reverberate into next year's midterm elections and beyond. By JONATHAN J. COOPER, MICHAEL R. BLOOD and TRÂN NGUYỄN, Associated Press

LOS ANGELES (AP) -- The national battle to control the U.S.",Boston Herald
The First Big Elections of the New Trump Era Are Today. Here's What to Look For.,"Voters on Tuesday will deliver an early judgment on President Trump's administration in the first set of coast-to-coast elections since he began his turbulent second term. Contests for mayor of New York, governor of New Jersey and Virginia, and a redistricting ballot measure in California have revolved to varying degrees around how the Democratic Party should rebuild itself and respond to Mr. Trump's power play in Washington. The elections are predominantly in Democratic areas and battleground states, where the party's candidates have sought to harness anger about Mr.",The New York Times
Newsom rallies supporters in final Prop. 50 push ahead of California special election,"Richard Ramos is a web producer for CBS Sacramento who was born and raised in Sacramento. He graduated with a BA in Journalism from CSUS. It's the final push for California's Proposition 50, a ballot measure backed by Gov. Gavin Newsom and other legislative Democrats that aims to redraw the state's congressional districts.",CBS News
"Virginia, New Jersey elections could signal national political mood ahead of 2026 midterms","Don't miss the full story from our staff writers, whose reportage is the basis of this article. Voters in Virginia, New Jersey, and other states are heading to the polls Tuesday in high-stakes elections that could provide early indicators of the national political climate ten months into President Trump's second term and one year before the 2026 midterms. While most races are in Democrat-friendly territory, the outcomes could signal warning signs for both parties. In Virginia's governor's race, former Democratic Rep.",Washington Times
"Voter ID measure violates California law, appeals court says","SANTA ANA, Calif. -- A California appeals court ruled Monday that a Huntington Beach measure requiring voter identification at the polls violates state law. The Fourth District Court of Appeal in Santa Ana determined that the measure passed by voters in the seaside city of 200,000 people should be struck down because it conflicts with state election law, said Lee Fink, a lawyer for Huntington Beach resident Mark Bixby, who challenged the city's measure. California Attorney General Rob Bonta also sued over the Huntington Beach law contending it would disenfranchise voters.",ABC News
ICE Altercation With Protester in Colorado Prompts a Police Chief to Push Back,"Brice Current, the police chief in the Durango, Colo., knew there was a problem the moment he saw the video of an immigration agent putting a protester into what the chief saw as a chokehold and throwing her down an embankment. Immigration agents had arrested a Colombian man and his two children on their way to school last week, provoking a furious response from this liberal college town of 20,000 in the mountains of southwest Colorado. Dozens of residents -- many with their arms linked -- descended on the small Immigration and Customs Enforcement building where the family was being held, set up camp outside the razor-wire gates and tried to block authorities from removing the family from Durango. What set the protest apart from similar clashes between residents and immigration agents in Chicago, Los Angeles and other cities was Chief Current's determination that the masked federal agent involved in the scuffle had crossed a line and his request for an investigation.",The New York Times
Off-year elections Tuesday to tap voter mood from coast to coast,"After months of mudslinging, feisty debates, and relentless door-knocking, voters in Virginia and New Jersey head to the polls Tuesday to decide high-stakes races that could offer early clues about the national political mood ten months into President Trump's second term and one year out from the 2026 midterms. In New York, voters are weighing whether state Assemblyman Zohran Mamdani's socialist vision fits the needs of the country's biggest -- and priciest -- city or whether they would rather turn back the clock with former Gov. Andrew Cuomo, who's attempting a political comeback after resigning in 2021 because of sexual harassment allegations, which he denies. Out west, Gov.",Washington Times
'Shockwaves': GOP pollster in awe as Republicans in for a 'bad day tomorrow',"An analyst Monday gave a stark warning ahead of the elections Tuesday, saying that voters are signaling they have had enough and are ready to say ""to hell with you all.""

President Donald Trump's approval rating has hit a second-term low: dropping to 63% among Americans disapproving of him and 37% approving of him, according to a new CNN poll released Monday, just ahead of the off-year election day. Democrats are also showing an advantage when it comes to motivation ahead of the elections, with 67% of Democratic leaning voters saying they are highly motivated to vote vs. 46% of Republican leaning voters saying they are motivated to cast their ballots. ""Republicans are going to have a bad day tomorrow,"" Frank Luntz, pollster and communications strategist, told CNN anchors Boris Sanchez and Brianna Keilar.",Raw Story
Ali Velshi: Fighters vs. folders: Proposition 50 is Democrats' way of fighting fire with fire,"With the Republican Party in thrall to Donald Trump, assuming good faith on the other side is a luxury one can no longer afford. It's possible that the most consequential election on Tuesday will not even elect a government official. You might have heard about California's Proposition 50, a statewide referendum that, if passed, will redraw the state's districts to give Democrats up to five more seats in the U.S. Congress.",MSNBC.com
Matthew Lillard drops f-bombs on ICE at Los Angeles 'Scream' screening event while promoting ballot measure,"Fox News senior correspondent Claudia Cowan reports on the latest incident of violence against I.C.E. agents on 'America Reports.'

Original ""Scream"" actor Matthew Lillard condemned Immigration and Customs Enforcement during a fan screening of the 1990s horror film on Friday. Making an appearance at a Los Angeles theater for a Halloween ""Scream"" event, Lillard took a moment to criticize the Trump administration's immigration enforcement and urged Angelenos to respond with love. ""F--- ICE.",Fox News
George Clooney says Kamala Harris replacing Joe Biden in 2024 election was a 'mistake',"After urging Joe Biden to exit the 2024 race in a New York Times op-ed, George Clooney says he feels Kamala Harris' presidential campaign was a ""mistake.""

George Clooney is looking back on the ""mistake"" Democrats made in the 2024 election. During an interview on ""CBS Sunday Morning,"" the ""Jay Kelly"" star, who wrote a New York Times op-ed in 2024 calling on Democrats to replace Joe Biden as their presidential nominee, reflected on former Vice President Kamala Harris' election loss to President Donald Trump. Clooney told CBS that he wishes Democrats would have had a competitive primary to decide on the best candidate to replace Biden, rather than quickly anointing Harris as his successor. ""I wanted there to be, as I wrote in the op-ed, a primary,"" Clooney said.",USA Today
Pelosi spokesman sidesteps retirement rumors as Dem primary threats wait in wings,"Former House Speaker Nancy Pelosi's office is sidestepping rumors that she could soon leave Congress. NBC News reported Monday that Pelosi, D-Calif., is expected to ""make an announcement"" about her political future after Election Day on Tuesday, with unnamed sources anticipating the Democratic political giant is set to retire at the end of her term. But when reached for comment on the report by Fox News Digital, a spokesperson for Pelosi made no mention of her stepping aside -- nor about her long-term plans in general. VOTING UNDERWAY IN 2025 ELECTION THAT MAY DETERMINE IF REPUBLICANS HOLD HOUSE IN 2026 MIDTERMS

""Speaker Pelosi is fully focused on her mission to win the Yes on 50 special election in California on Tuesday,"" Pelosi spokesperson Ian Krager said.",Fox News
Can Trump move the Olympics out of LA?,"LOS ANGELES -- Since Donald Trump has returned to the White House, Olympics, LA 28 and FIFA officials have lavished the president with praise, attention and gifts, and contributed hundreds of thousands of dollars to the campaign war chests of the Republican Party and Trump's political allies amid rising concerns that Trump could seriously undermine the 2026 World Cup and the 2028 Olympic Games or even prevent the two most watched events on planet from even taking place. LA 28 chairman Casey Wasserman even made a pilgrimage to Mar-a-Lago, Trump's Palm Beach estate, in January, just days before the inauguration. FIFA president Gianni Infantino brought along the World Cup trophy on a visit to the Oval Office. Only the ""winners"" are allowed to hold it, Infantino told Trump as he handed the trophy to the president.",Boston Herald
California law to protect Jewish students faces challenge over free speech concerns,"SAN FRANCISCO (AP) -- The American-Arab Anti-Discrimination Committee is challenging a new California law designed to protect Jewish students from discrimination, arguing it is unconstitutionally vague and violates their free speech rights. The federal complaint, filed Sunday in San Jose, seeks to invalidate legislation Gov. Gavin Newsom signed last month, creating an Office of Civil Rights to help schools identify and prevent antisemitism. State lawmakers approved the legislation as political tensions have flared in the U.S.",Boston Herald
Defiant George Clooney has no regrets on damning Biden op-ed  --  but...,"Oscar-winning actor George Clooney said he regrets that Democrats tapped then-Vice President Kamala Harris to be the party's standard-bearer after Joe Biden ended his bid for a second term in July 2024. In an interview with CBS News ""Sunday Morning,"" the ""Syriana"" and ""O Brother Where Art Thou?"" star stood by his blistering New York Times op-ed in which he stated bluntly that Biden could not defeat Donald Trump due to his cognitive decline. ""I wanted there to be, as I wrote in the op-ed, a primary,"" the 64-year-old said. ""Let's battle-test this quickly and get it up and going.""

""I think the mistake with it being Kamala is that she had to run against her own record,"" Clooney went on.",New York Post
"Trump's influence to be tested in VA, NJ, California races: 2025 campaign live updates","Here are three reasons the 2025 elections could shift the balance of power and influence key players in both parties. Candidates for governor in New Jersey and Virginia, and for mayor of New York City, are racing to the finish line Nov. 4 to see who wins off-year elections that are considered a signal for how 2026 campaigns will go. In California, voters will help determine if Democrats or Republicans win the U.S.",USA Today
"America, the Juvenile","The Trump administration is a regime of troubled grade-schoolers. In 1949, the German historian and political philosopher Hannah Arendt visited Europe for the first time since fleeing to America during the war. A year later, she wrote an analysis of what she called ""the aftermath of Nazi rule."" She found the Old World lacking in civic maturity and commitment compared with her new home, the then-booming United States, noting that ""the peoples of Western Europe have developed the habit of blaming their misfortunes on some force out of their reach."" She believed that her adopted country, by comparison, enjoyed a kind of clarity of public vision: ""With the possible exception of the Scandinavians,"" she wrote, ""no European citizenry has the political maturity of Americans, for whom a certain amount of responsibility, i.e., of moderation in the pursuit of self-interest, is almost a matter of course."" Arendt wasn't celebrating a perfect America; rather, she was lauding a people who approached political life with an adult sensibility and a reserve of self-control. Arendt, and any judicious observer, could not make the same assessment of America today.",The Atlantic
Newsom's obscene $250M redistricting proves the urgent need for The...,"Governor Gavin Newsom will soon almost certainly be celebrating the passage of Proposition 50, a referendum to cast aside the state's ""independent"" congressional map in favor of one drawn by Democrats, for Democrats. Prop 50 is certainly good for Newsom and his party, but it is bad for California. And it highlights the lack of political accountability in the once-Golden State, which suffers some of the worst governance in America. Newsom sold Prop 50 to the electorate using the same tactics he deployed to survive the 2021 recall vote: he told Democrats that if he lost, President Donald Trump and his supporters would win.",New York Post
5 key races to watch on Election Day 2025,"Florida Gov. Ron DeSantis argues the 'number one reason' New Yorkers have left the state and issues a grim warning on 'The Story.'

With three days until Election Day, and the latest polls pointing to a potential photo finish in the battle for New Jersey governor, the two major party nominees are urging their supporters to get out and vote. ""When we vote, we win,"" Democratic nominee Rep. Mikie Sherrill told supporters.",Fox News
What's on the ballot in the first general election since Donald Trump became president,"WASHINGTON -- One year after Donald Trump retook the White House and set into motion a dramatic expansion of executive power, the Republican president figures prominently in state and local elections being held Tuesday. The results of those contests -- the first general election of Trump's second term -- will be heralded by the victors as either a major repudiation or resounding stamp of approval of his second-term agenda. That's especially true in high-profile races for Virginia and New Jersey governor, New York City mayor and a California proposition to redraw its congressional district boundaries. More than half of the states will hold contests on Tuesday.",ABC News
Election Day poses early political test for Trump amid lingering shutdown,"'Fox News Live' panelists Howard Kurtz, Kevin Madden and Ron Bonjean break down the upcoming elections in New York, New Jersey and Virginia. Back from a whirlwind week in Asia, President Donald Trump faces a series of political tests at home as Americans head to the polls on Tuesday, offering an early measure of how voters view his policies and leadership. Across the East Coast, voters in Virginia and New Jersey will pick new governors and New York City will decide who will lead America's largest city. CLICK HERE FOR THE LATEST FOX NEWS COVERAGE OF THE 2025 ELECTIONS

In California, officials are redrawing congressional maps in a process that will shape how communities are represented in Washington next year.",Fox News
Gavin's big gamble: The California governor's redistricting battle with Trump sets up 2028,"Gov. Gavin Newsom warned that the US may not see a presidential election in 2028, describing authoritarian actions by the Trump administration. Gavin Newsom's 2028 presidential ambitions are about to get a self-imposed stress test after months of putting his political muscle behind one of the Democratic Party's more daring campaigns of 2025. California voters are set decide on a Nov.",USA Today
California law seeking to shield Jewish students from antisemitism challenged on free speech grounds,"The American-Arab Anti-Discrimination Committee is challenging a new California law designed to protect Jewish students from discrimination that plaintiff teachers and students say is unconstitutionally vague and violates their free speech rights. The federal complaint, filed Sunday in San Jose, seeks to invalidate legislation Gov. Gavin Newsom signed last month creating an Office of Civil Rights to help schools identify and prevent antisemitism. State lawmakers approved the legislation as political tensions have flared in the U.S.",CBS News
Opinion | Why DOJ election monitors in California and New Jersey are setting off alarms,"California prepares for Trump 'election watchers': 'We will be making sure they stay in their lane'

The Department of Justice will deploy federal election observers to monitor sites in Tuesday's elections in California and New Jersey. This would usually be seen as a routine mission from the department's Civil Rights Division, which is tasked with ensuring federal election laws are followed across the country. But the precise areas of deployment, the absence of clear federal authority to oversee these specific races and the questionable pretext for their deployment all set a disturbing precedent that will likely expand during next year's midterm elections. In late October, Attorney General Pam Bondi said in a statement that the election monitors are necessary ""to ensure the American people get the fair, free, and transparent elections they deserve."" The Justice Department staffers in question will be headed to five counties in California, including Los Angeles County, and one county in New Jersey.",MSNBC.com
"Republicans encourage voters to cast mail ballots, despite Trump's attacks","Republican activists are trying to rally voters behind the practice. When President Donald Trump wrote on social media in August that there should be ""no mail-in voting"" and that Americans should ""USE PAPER BALLOTS ONLY,"" he appeared to contradict the efforts of Republican officials and activists across the country who have spent the last several years encouraging Republicans to embrace absentee voting. Trump's post echoed what had become nearly universal messaging among party members after the 2020 election, when he sought, baselessly, to blame his loss that year to the pandemic-related spike in mail-in voting. But since then, many Republicans, including some who had been the most avid opponents of absentee voting, have said they recognize that the practice is necessary to win elections.",ABC News
Analysis | Where are we on redistricting?,In today's edition ... The Trump administration faces a court order on SNAP ... You tell us your thoughts on nuclear testing ... but first ...,Washington Post
What to know about California's Proposition 50  --  Gavin Newsom's...,"That will be the question facing Californians on Tuesday in a special election that could reshape the balance of power in the state and the country for years to come. Proposition 50, backed by Democratic Governor Gavin Newsom, would temporarily redraw the state's electoral maps in a way that could help Democrats flip five Congressional seats in the 2026 midterms. The new maps were hastily hashed out in August in response to a similar redistricting scheme in Texas designed to hand more seats to the Republicans. It's a fight-fire-with-fire strategy meant to balance the scales in Washington.",New York Post
A clear trail of clues betrays Trump's ultimate plot,"Donald Trump signs a print of a TIME cover, during a White House event. REUTERS/Kylie Cooper

Will the 2028 election even happen, or are we watching the slow-motion rehearsal for its cancellation? Every signal from Trump's orbit points to a deliberate strategy to turn fear, chaos, and manufactured crisis into political weapons. History tells us how these stories end.",Raw Story
Elections Across the U.S. Will Test Democrats' Momentum Ahead of 2026 Midterms,"After more than nine months of President Trump using the full force of the federal government to impose his will on the nation, elections across the country on Tuesday will offer the Democratic Party its biggest chance yet to assert its viability as a serious opposition party. No federal contests that could provide a meaningful check on Mr. Trump's powers in Washington will be decided. But races for governor in New Jersey and Virginia headline an Election Day that will provide a critical update on the state of the Democrats' rebuilding project and a preview of the fault lines in the 2026 midterm elections.",The New York Times
Democrats lean into fighter persona as party rebuilds ahead of 2026 midterms,"Democrats, in the throes of rebuilding their party can agree, at least, on one thing: they are fed up with being portrayed as losers. Several ABC News interviews with Democratic strategists, current and former national staffers, and state-level officials raise several questions from within the party of how to best shift perceptions ahead of the midterms: does the party go full bore on anti-Trump messaging as the navigate the politics of the ongoing government shutdown and voters feel the pinch? Do they focus, instead, on boosting progressive rising stars even as Republicans paint the party as too-radical? Some less conventional Democrats question whether the party should bother relying on the traditional leadership structure, who may lean too much on outdated tactics, in Washington at all.",ABC News
The imperial aesthetic at the heart of Donald Trump's presidency,"A banner featuring President Donald Trump on the U.S. Department of Agriculture building. (Pete Kiehart/For The Washington Post)

Agencies have hung enormous portraits of President Donald Trump outside their buildings. The Treasury Department is preparing to mint a commemorative coin that shows Trump raising a heroic fist.",Washington Post
Is mega-phony Gavin Newsom the best the Democrats can do?,"Gavin Newsom admits he has an eye on a 2028 presidential run, and the sad thing is: The California governor might be the best Democrats can manage. Unlike ex-Veep Kamala Harris and others (Pete Buttigieg), he can pretend he was unaware of President Joe Biden's sagging faculties without triggering open laughter. Unlike Pennsylvania's Gov. Josh Shapiro, he's toed the far-left regularly enough to (perhaps) be acceptable to the party's base, who may find running a white male non-socialist acceptable if it can get them back to power.",New York Post
SNAP benefits in jeopardy as government shutdown drags into fifth week,"As the government shutdown entered its fifth week, the ongoing stalemate began to threaten vital food assistance programs relied upon by tens of millions of Americans, prompting surging demand and long lines at food banks nationwide. The Supplemental Nutrition Assistance Program, commonly known as food stamps, became a flashpoint after a federal court ordered the Trump administration to back off its plan to halt funding due to the shutdown. Despite the court order, delays in SNAP payouts, which help low-income Americans buy groceries, are putting millions of poor Americans in a pinch, fueling uncertainty about how they will afford food. It is a reminder of how the shutdown's ripple effects continue to mount.",Washington Times
Newsom says he saw nothing to suggest Biden couldn't serve through 2029 in NBC interview,"California Gov. Gavin Newsom said Sunday during an interview on ""Meet the Press"" that former President Joe Biden could have served through 2029. Gov. Gavin Newsom, D-Calif., was pressed by NBC News host Kristen Welker on whether he thought former President Joe Biden could have served through 2029, his defense of the former president and Kamala Harris' failed campaign during ""Meet the Press"" on Sunday.",Fox News
Newsom: Tuesday's elections will mark turning point in Trump presidency,"Gov. Gavin Newsom of California said Sunday that he is ""deeply confident"" that voters this week will sign off on new congressional maps that favor Democrats, framing it as part of a broader rejection of President Trump's failed leadership. Speaking on NBC's ""Meet the Press,"" Mr. Newsom predicted that the passage of Proposition 50 in his state on Tuesday would be just one piece of what he expects to be a big election night for Democrats.",Washington Times
Gavin Newsom has high hopes  --  but rock-bottom results,"When New York was the most populous and economically dominant state in the 19th and much of the 20th century, it was natural its governors would be quadrennial contenders for the presidency. The Empire State sent four of its governors on to the White House (Martin Van Buren, Grover Cleveland, Theodore Roosevelt and Franklin Roosevelt) but supplied nominees or serious contenders in numerous other cycles (Samuel Tilden, Al Smith, Tom Dewey, Averell Harriman and Nelson Rockefeller, to name a few). After California became the most populous and prosperous state in the early 1960s, it was expected its governors would become top contenders for the Oval Office every four years. But so far California has only sent Ronald Reagan from Sacramento to the White House.",New York Post
Trump held 'Gatsby'-themed Halloween party as SNAP benefits were due to be cut off,"President Donald Trump hosted a 1920's theme party at Mar-A-Lago on Oct. 31, as multiple federal judges ruled the administration could not stop funding food aid amid the ongoing government shutdown. The party was labeled ""A Little Party Never Killed Nobody"" according to multiple media attendees. The title was drawn from a song on the soundtrack of the 2013 movie adaptation of ""The Great Gatsby.""

Attendees included Secretary of State Marco Rubio, Ivanka and Tiffany Trump, and their husbands, Jared Kushner and Michael Boulos, according to ABC News.",USA Today
"Gerrymandering, migration and political violence set the stage for America's great unraveling","Political tribes redraw maps, rewrite morals and remove opponents until ballots no longer matter

We live in uncertain times, and three key features of the current landscape increase the likelihood of political violence. First, for more than a decade, blue states have been losing population to red states. Over the past 10 years, New York has lost approximately 2 million residents; New Jersey and Illinois have each lost around 500,000. About 2 million refugees have fled the Golden State in the past 15 years.",Washington Times
Newsom claims he 'never had' concerns about Biden's capacity --...,"California Gov. Gavin Newsom claimed Sunday that he ""never had"" any doubt about former President Joe Biden's mental capacity to run the country -- except after that one little infamous California fundraiser. At the June 2024 fundraiser in Los Angeles, the then-prez didn't recognize megawatt celeb, co-host and longtime pal George Clooney -- leaving the actor ""shaken to the core,'' a book co-authored by CNN's Jake Tapper has said. Newsom, asked on NBC's ""Meet the Press"" whether he ever had concerns about Biden's decline in the Oval Office, insisted, I never had that.",New York Post
"'This Week' Transcript 11-02-25: Transportation Secretary Sean Duffy, Sen. Tim Kaine & Sen. Ed Markey","A rush transcript of ""This Week with George Stephanopoulos"" airing on Sunday, November 2, 2025 on ABC News is below. This copy may not be in its final form, may be updated and may contain minor transcription errors. For previous show transcripts, visit the ""This Week"" transcript archive. MARTHA RADDATZ, ABC ""THIS WEEK"" ANCHOR: Just two days until voters cast their final ballots in high-stakes elections, all in the shadow of a far-reaching government shutdown.",ABC News
7 big questions hang over US politics heading into Election Day 2025,"Proposition 50 sparks debate over redistricting in California. It will play a substantial role in deciding which party controls the U.S. House. Democrats are trying to bounce back from their 2024 thumping, while Republicans are working to blunt the typical momentum for the party out of power as voters hit the polls Nov.",USA Today
Why Gavin Newsom is gambling on new rules for Trump 2.0,"Newsom has discarded Democrats' ""when they go low, we go high"" mantra. At the beginning of the year, California Gov. Gavin Newsom's tenure was marked by devastating wildfires in Los Angeles, a steady stream of ridicule from the White House, and backlash from within the Democratic Party for siding with conservatives on transgender athletes in women's sports. Not to mention, in the summer of 2021, Newsom weathered a blistering attempt to recall him from office -- his starpower at risk.",ABC News
Democrats Running for Governor Stick to a Familiar Theme: Fight Trump,"Lisa Lerer reported from Westville and Red Bank, N.J. and Reid J. Epstein reported from Alexandria, Va. Representative Mikie Sherrill of New Jersey stood in front of a train station in a downpour last week, lamenting the demise of a Hudson River rail tunnel after President Trump said he ""terminated"" federal funding for it.",The New York Times
Federal agents allegedly wear Halloween masks during Los Angeles patrol,"Austin Turner is a web producer at CBS News Los Angeles. An Inland Empire native, Austin earned a degree in journalism from San Jose State University in 2020. Before joining CBS News in 2025, he worked at KTLA, the San Jose Mercury News, the Sedona Red Rock News and various other outlets as a freelance sports reporter. Federal agents were spotted this week wearing what appeared to be Halloween masks while on patrol in Los Angeles, according to a community patrol group.",CBS News
